51300003488,gce,160,138
51300009656,dfc,9,212
51300012048,edg,269,101
51300032838,gbg,271,9
51300061477,fdg,186,150
51300136335,dfe,85,271
51300157939,fge,287,69
51300189259,ccf,285,219
51300213208,ffd,48,166
51300219157,ebe,118,168
51300239008,fcc,112,117
51300252269,gcd,11,261
51300254702,dga,182,269
51300279786,ffc,35,183
51300316960,gge,261,174
51300360877,dea,98,57
51300402703,fda,269,208
51300429807,ccg,261,225
51300431364,cgb,118,92
51300432528,fgd,200,139
51300509314,abe,12,59
51300531407,acg,254,202
51300538167,baa,215,58
51300573379,dfd,172,102
51300615989,gff,56,116
51300629779,fgf,202,218
51300653984,dfa,291,231
51300672493,afb,152,173
51300680129,gfg,58,117
51300714529,dag,178,277
51300722109,cge,140,299
51300756342,gcd,21,271
51300764209,gbg,187,8
51300783348,bfc,177,13
51300794287,ggc,294,156
51300818774,aea,15,257
51300949247,cbf,162,53
51300950423,abb,255,85
51301042703,gfg,228,120
51301053118,cae,133,295
51301059808,egc,184,18
51301080231,gcd,252,246
51301081458,gda,223,193
51301141633,cda,165,248
51301179958,cbc,76,12
51301195745,egb,299,180
51301222515,gfg,82,98
51301223289,gab,36,172
51301300632,cgf,291,84
51301333420,dfc,99,228
51301334319,bac,193,54
51301394392,fcd,242,119
51301420279,gfd,141,160
51301448480,aff,297,152
51301530586,ade,114,154
51301579017,daa,151,234
51301582042,caf,161,247
51301701310,fac,121,15
51301758527,ead,288,34
51301766038,gfa,12,223
51301830467,ffc,293,159
51301837405,dgg,282,229
51301888321,ged,54,216
51301923472,gce,14,122
51301940120,efg,47,28
51301983386,fdc,181,234
51302056752,gbf,109,123
51302078975,abf,5,14
51302085557,eba,105,156
51302105574,fca,92,211
51302120669,efe,260,235
51302183186,fbf,54,192
51302230509,cga,250,126
51302253416,ede,43,244
51302255980,dcd,73,210
51302283621,dcg,102,178
51302382006,bbd,6,79
51302382176,dbb,246,88
51302404855,gcc,75,73
51302423795,caf,168,274
51302424691,cba,4,184
51302473736,ede,295,209
51302480382,dff,284,117
51302486268,bee,40,265
51302487348,def,37,242
51302546340,bbe,107,123
51302570010,ffg,286,171
51302628750,fbd,159,109
51302654013,edd,210,254
51302704551,bad,101,270
51302704739,dee,172,148
51302745706,gad,79,91
51302775130,gbg,141,7
51302812328,dee,146,150
51302827444,ade,102,181
51302830274,acg,37,224
51302856718,gcg,182,251
51302860427,gdd,167,250
51302860771,fcb,141,47
51302865836,dba,243,272
51302868216,add,297,274
51302874899,dcc,177,61
51302898758,beb,26,279
51302907047,ede,161,179
51302926872,eac,127,5
51302958012,cea,271,21
51302966935,dgc,246,223
51302976553,cfa,232,178
51302984475,gee,39,148
51302993753,fgf,90,187
51302998198,edd,150,208
51302998457,gga,35,33
51302999654,gbf,148,103
51303000195,fae,98,250
51303005360,ebb,279,86
51303027015,gdb,114,275
51303036027,dbc,188,157
51303048568,baf,85,117
51303072257,bec,168,188
51303105939,bea,285,231
51303119563,aef,79,47
51303127349,ecb,279,38
51303153367,gde,63,244
51303190174,aea,120,298
51303202402,bdb,9,210
51303209619,efe,38,220
51303225738,gfc,163,253
51303231347,dba,27,310
51303243909,bce,15,98
51303265120,fcc,119,99
51303271710,gff,37,138
51303330738,fbf,169,220
51303334489,dbf,87,49
51303416997,bbg,275,242
51303422274,cga,73,113
51303445805,ccb,124,191
51303452159,fge,73,63
51303458505,dbg,182,172
51303487940,cag,268,75
51303536390,adb,26,98
51303545125,cfe,230,246
51303560584,efb,135,226
51303565690,dgf,31,165
51303597600,bag,131,10
51303617703,beb,76,287
51303622613,eaf,217,155
51303625612,cee,199,260
51303675580,aae,152,84
51303751444,bbf,128,268
51303756685,ggb,98,9
51303760944,gab,268,190
51303776871,dgb,113,216
51303795913,ecd,17,166
51303801977,egf,89,184
51303803463,fda,215,185
51303811710,dgc,38,223
51303829531,eff,167,291
51303844335,cfc,83,21
51303846253,dfa,216,184
51303862987,cdc,197,23
51303882487,ceg,134,98
51303898405,gda,204,225
51303924098,aac,91,290
51303931621,fcf,194,198
51303972462,eca,265,113
51303983174,adf,209,181
51303990076,eec,260,118
51304008584,dcg,15,169
51304018669,acg,125,262
51304024251,gec,232,132
51304035002,gbf,274,112
51304045113,eab,175,80
51304050954,dbd,201,11
51304062632,gcb,22,112
51304075965,fef,175,251
51304088853,egb,57,180
51304091047,gba,28,293
51304106260,bac,293,43
51304120332,ffe,170,20
51304145412,gdd,151,215
51304175494,eef,153,115
51304188825,gef,134,35
51304251131,dce,261,262
51304253570,dca,247,15
51304292307,deb,58,165
51304325561,fgd,47,151
51304343825,agd,17,45
51304367041,ecf,294,35
51304421260,gac,33,145
51304428029,ege,105,94
51304451104,eeg,136,23
51304497470,bcg,201,86
51304499934,fdb,276,170
51304501065,eff,165,296
51304506228,ebb,24,69
51304525097,fag,277,224
51304560570,aga,29,163
51304571900,fgc,212,117
51304583180,ddd,107,219
51304583183,dae,54,27
51304600600,bbb,107,39
51304609758,cgc,297,141
51304639055,fae,107,207
51304640431,cbf,27,54
51304649720,edf,49,296
51304654373,cae,58,262
51304665353,cad,258,240
51304674178,adc,210,94
51304711927,eaa,235,153
51304712552,dag,102,271
51304719546,bcd,218,94
51304739606,gge,97,156
51304773858,ccf,168,223
51304776450,eed,174,45
51304794413,gfb,192,207
51304796970,edc,161,164
51304840368,gfg,208,116
51304853166,gad,270,79
51304856238,fab,10,128
51304889966,gda,34,222
51304895675,fce,148,78
51304928539,gbb,250,121
51304947163,ffg,31,155
51304960280,bbb,293,45
51304971247,dfd,1,105
51304972406,acb,270,175
51304992883,efa,211,38
51304999494,cef,73,140
51305010999,aba,270,295
51305022519,fgf,147,215
51305030637,fba,29,53
51305101394,aaf,90,221
51305113454,bfb,118,242
51305135542,eaf,127,176
51305137746,bdc,147,279
51305157307,aaa,247,99
51305168800,fbc,109,5
51305176547,bfe,80,187
51305182367,bde,290,278
51305246365,fgb,37,279
51305247308,cab,80,220
51305299420,abb,215,76
51305312087,cgb,201,82
51305313473,fed,85,127
51305331000,cbf,168,54
51305337446,eff,247,349
51305386990,dee,236,139
51305394359,bdc,85,290
51305411264,ecc,11,298
51305443869,ddc,158,183
51305449331,dgd,82,294
51305475491,ddc,165,214
51305497975,cec,131,27
51305501504,abd,273,110
51305508705,feg,181,248
51305540639,fcg,10,197
51305601350,dbf,54,47
51305621295,dgf,93,156
51305621300,ded,293,39
51305621667,bfd,1,258
51305667556,fdb,223,190
51305673994,eca,50,100
51305680481,afd,154,34
51305685141,acc,176,84
51305688280,bfd,190,268
51305699164,fge,10,54
51305725939,fcc,111,114
51305735413,cgc,236,133
51305738292,cgb,266,67
51305749325,egc,92,15
51305818570,cge,57,304
51305820450,bcc,121,106
51305832951,ggd,273,24
51305834109,beb,4,289
51305847554,eda,140,102
51305850096,gfc,160,258
51305857047,ead,118,40
51305861457,ced,68,221
51305875457,ccd,296,106
51305889782,bdg,46,85
51305927753,bef,70,121
